category_id,drink_id,drink_name,drink_en_name,drink_content,drink_zoomimg,drink_nutrition_info,kcal,fat,protein,sodium,sugars,caffeine,allergy,,,,,,,,
3,31,아이스 카페 모카,Iced Caffe Mocha,모카시럽과 시원한 우유에 휘핑크림이 토핑된 에스프레소 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110566]_20150813221545269.jpg,Tall(톨) / 355ml (12 fl oz),250,8,7,70,21,95,우유,,,,,,,,
3,32,아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,화이트 초콜릿과 시원한 우유가 첨가된 에스프레소 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110572]_20150803102719457.jpg,Tall(톨) / 355ml (12 fl oz),350,11,8,150,41,75,우유,,,,,,,,
3,33,카페 모카,Caffe Mocha,모카시럽과 스팀밀크에 휘핑크림이 토핑된 에스프레소.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[46]_20150803105115048.jpg,Tall(톨) / 355ml (12 fl oz),290,9,10,105,25,95,우유,,,,,,,,
3,34,화이트 초콜릿 모카,White Chocolate Mocha,화이트 초콜릿과 스팀밀크가 첨가된 에스프레소 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128192]_20150803101501857.jpg,Tall(톨) / 355ml (12 fl oz),390,11,12,190,45,75,우유,,,,,,,,
3,35,바닐라 플랫 화이트,Vanilla Flat White,스타벅스 리스트레토 샷과 향긋한 바닐라 풍미가 더해진 진하고 달콤한 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002406]_20190917152957184.jpg,Tall(톨) / 355ml (12 fl oz),220,5,9,130,23,260,우유,,,,,,,,
3,36,바닐라 스타벅스 더블 샷,Vanilla Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110612]_20181022143635434.jpg,207ml (7 fl oz),125,4.5,2,30,14,145,우유,,,,,,,,
3,37,블론드 리스트레토 마키아또,Blonde Ristretto Macchiato,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 블론드 리스트레토 마키아또로 즐겨보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002191]_20190415144850803.jpg,Tall(톨) / 355ml (12 fl oz),265,6,9,140,33,150,,,,,,,,,
3,38,블론드 바닐라 더블 샷 마키아또,Blonde Vanilla Double Shot Macchiato,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우리진 마키아또 타입의 음료를 즐겨 보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002950]_20200416142151278.jpg,Tall(톨) / 355ml (12 fl oz),315,12,8,130,31,170,우유,,,,,,,,
3,39,블론드 에스프레소 토닉,Blonde Espresso Tonic,블론드 에스프레소와 시트러스한 풍미의 토닉 워터가 어우러진 블론드 에스프레소 토닉을 상쾌하게 즐겨보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002188]_20190415144717933.jpg,Tall(톨) / 355ml (12 fl oz),80,0,1,30,17,170,,,,,,,,,
3,40,아이스 블론드 리스트레토 마키아또,Iced Blonde Ristretto Macchiato,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 아이스 블론드 리스트레토 마키아또로 즐겨보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002194]_20190415144953517.jpg,Tall(톨) / 355ml (12 fl oz),215,3.8,6,95,28,150,,,,,,,,,
3,41,아이스 블론드 바닐라 더블 샷 마키아또,Iced Blonde Vanilla Double Shot Macchiato,블론드 에스프레소 2샷에 흑당 시럽과 바닐라 크림이 부드럽고 달콤하게 어우리진 마키아또 타입의 음료를 즐겨 보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002953]_20200416142415423.jpg,Tall(톨) / 355ml (12 fl oz),195,6,5,65,22,170,우유,,,,,,,,
3,42,에스프레소,Espresso,스타벅스의 핵심인 강렬하고 카라멜향이 달콤한 음료,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[20]_20150813221922951.jpg,Solo(솔로) / 22ml (0.75 fl oz),5,0,0,0,0,75,,,,,,,,,
3,43,커피 스타벅스 더블 샷,Coffee Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110611]_20150813220251638.jpg,207ml (7 fl oz),125,5,3,28.5,14,150,우유,,,,,,,,
3,44,클래식 아포가토,Classic Affogato,[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,http://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001631]_20180726125701691.jpg,Tall(톨) / 355ml (12 fl oz),240,10,4,70,18,150,우유,,,,,,,,
3,45,헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110614]_20181022143713157.jpg,207ml (7 fl oz),125,5,3,28.5,14,150,우유,,,,,,,,
4,46,더블 에스프레소 칩 프라푸치노,Double Espresso Chip Frappuccino,"리스트레토 에스프레소 2샷과 에스프레소 칩, 하프앤하프가 
달고 진하고 어우러진 커피의 기본에 충실한 
더블 에스프레소 칩 프라푸치노를 만나보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/06/[9200000002760]_20200608092704260.jpg,Tall(톨) / 355ml (12 fl oz),265,11,3,140,31,130,우유,,,,,,,,
4,47,모카 프라푸치노,Mocha Frappuccino,"초콜릿, 커피와 얼음이 갈린 음료에 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168004]_20150813221231921.jpg,Tall(톨) / 355ml (12 fl oz),280,6,5,180,36,90,우유,,,,,,,,
4,48,에스프레소 프라푸치노,Espresso Frappuccino,"에스프레소의 강렬함과 약간의 단맛을 시원하게 즐기는 프라푸치노.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168007]_20150813222212671.jpg,Tall(톨) / 355ml (12 fl oz),140,1,3,125,22,120,우유,,,,,,,,
4,49,자바 칩 프라푸치노,Java Chip Frappuccino,"커피 프라푸치노에 초콜릿, 초콜릿 칩이 첨가된 아이스 블렌드로 달콤 아삭한 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168016]_20150813231001890.jpg,Tall(톨) / 355ml (12 fl oz),340,9,6,180,42,100,대두 / 우유 / 밀,,,,,,,,
4,50,카라멜 프라푸치노,Caramel Frappuccino,"카라멜 시럽이 더해진 커피 프라푸치노에 휘핑 크림, 카라멜이 장식된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168010]_20150813220356049.jpg,Tall(톨) / 355ml (12 fl oz),300,7,4,190,39,85,우유,,,,,,,,
4,51,화이트 초콜릿 모카 프라푸치노,White Chocolate Mocha Frappuccino,"화이트 초콜릿, 커피와 우유가 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168013]_20150806153343261.jpg,Tall(톨) / 355ml (12 fl oz),320,7,5,210,43,85,우유,,,,,,,,
4,52,바닐라 크림 프라푸치노,Vanilla Cream Frappuccino,"우유에 바닐라향이 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168054]_20150813220927322.jpg,Tall(톨) / 355ml (12 fl oz),310,5.3,9,241,38,0,우유,,,,,,,,
4,53,제주 까망 크림 프라푸치노,Jeju Black Sesame Cream Frappuccino,"[제주지역 한정음료] 제주 까망 라떼의 프라푸치노 버전으로 
쫄깃한 국내산 흑임자 떡과 블랙 소보로 토핑으로 
컵빙수처럼 먹는 음료. 고소한 국내산 흑임자와 
쫄깃한 국내산 흑임자 떡, 달콤한 블랙 소보로 토핑으로 
제주의 돌 하르방 길을 느껴보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002088]_20190221165617635.jpg,Grande(그란데) / 473ml (16 fl oz),600,7,9,330,79,0,대두 / 우유 / 밀,,,,,,,,
4,54,제주 쑥떡 크림 프라푸치노,Jeju Mugwort Cream Frappuccino,"[제주지역 한정음료] 제주 쑥쑥 라떼의 시원한 버전으로 
쫄깃쫄깃한 국내산 흑임자 떡으로 
씹는 재미를 즐길 수 있는 음료. 
제주 쑥과 국내산 흑임자 떡으로 제주 오름길을 느껴보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002090]_20190221165833072.jpg,Grande(그란데) / 473ml (16 fl oz),460,10,8,250,57,0,대두 / 우유 / 밀,,,,,,,,
4,55,제주 유기농 말차로 만든 크림 프라푸치노,Malcha Cream Frappuccino From Jeju Organic Farm,깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 제주 유기농 말차로 만든 크림 프라푸치노를 만나보세요.,http://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9200000002502]_20191227095721775.jpg,Tall(톨) / 355ml (12 fl oz),185,2.2,4,140,31,60,우유,,,,,,,,
